gasoline_shock_pct,other_motor_fuel_shock_pct,september_cpi_w_all_items,q3_cpi_w_average,cola_raw_pct,cola_rounded_pct
15.000000000000002,255.00000000000003,331.86561803420364,329.1502060114012,3.746253709752714,3.7
15.000000000000002,260.0,331.88321997193924,329.1560733239798,3.7481030529651864,3.7
15.000000000000002,265.00000000000006,331.90082190967485,329.1619406365583,3.749952396177641,3.7
15.000000000000002,270.0,331.9184238474104,329.16780794913683,3.7518017393900953,3.8
15.000000000000002,275.0,331.936025785146,329.17367526171535,3.7536510826025498,3.8
15.000000000000002,280.0,331.9536277228816,329.17954257429386,3.755500425815004,3.8
15.000000000000002,285.0,331.9712296606172,329.1854098868724,3.7573497690274587,3.8
15.000000000000002,290.00000000000006,331.9888315983528,329.19127719945095,3.7591991122399313,3.8
15.000000000000002,295.0,332.0064335360884,329.1971445120295,3.7610484554524035,3.8
15.000000000000002,300.0,332.024035473824,329.203011824608,3.76289779866484,3.8
20.0,0.0,331.62116495499714,329.0687216516657,3.7205703077553816,3.7
20.0,5.0,331.63876689273275,329.07458896424424,3.722419650967836,3.7
20.0,10.0,331.6563688304683,329.08045627682276,3.7242689941802904,3.7
20.0,15.000000000000002,331.6739707682039,329.0863235894013,3.726118337392745,3.7
20.0,20.0,331.6915727059395,329.09219090197985,3.727967680605217,3.7
20.0,25.0,331.7091746436751,329.0980582145584,3.7298170238176893,3.7
20.0,30.000000000000004,331.7267765814107,329.10392552713694,3.7316663670301438,3.7
20.0,35.0,331.7443785191463,329.10979283971545,3.733515710242598,3.7
20.0,40.0,331.7619804568819,329.11566015229397,3.7353650534550527,3.7
20.0,45.0,331.7795823946175,329.1215274648725,3.737214396667507,3.7
20.0,50.0,331.7971843323531,329.127394777451,3.7390637398799615,3.7
20.0,55.00000000000001,331.8147862700887,329.1332620900296,3.740913083092434,3.7
20.0,60.00000000000001,331.8323882078243,329.13912940260815,3.7427624263049064,3.7
20.0,65.0,331.8499901455599,329.14499671518666,3.744611769517361,3.7
20.0,70.0,331.86759208329545,329.1508640277652,3.7464611127298153,3.7
20.0,75.0,331.88519402103105,329.1567313403437,3.7483104559422697,3.7
20.0,80.0,331.90279595876666,329.1625986529222,3.750159799154724,3.8
20.0,85.00000000000001,331.92039789650227,329.16846596550073,3.7520091423671786,3.8
20.0,90.0,331.93799983423787,329.1743332780793,3.7538584855796513,3.8
20.0,95.0,331.9556017719735,329.1802005906579,3.7557078287921235,3.8
20.0,100.0,331.973203709709,329.18606790323634,3.75755717200456,3.8
20.0,105.0,331.99080564744463,329.1919352158149,3.7594065152170324,3.8
20.0,110.00000000000001,332.00840758518024,329.1978025283934,3.761255858429487,3.8
20.0,115.00000000000001,332.02600952291584,329.20366984097194,3.7631052016419413,3.8
20.0,120.00000000000001,332.04361146065145,329.20953715355046,3.7649545448543957,3.8
